>0.5	>0.25	>0.075	>0.005	<0.005	w	e	a0.1-0.2
0	0	3	82.6	14.4	22.7	0.762	0.23
0	0	2.8	82.5	14.7	22	0.681	0.18
0	0	1.4	81.8	16.8	21.7	0.685	0.2
0	0	3.7	82.1	14.2	20.8	0.708	0.19
0	0	5.6	80.7	13.7	18.8	0.596	0.18
0	0	3.8	81.7	14.5	18.7	0.644	0.22
0	0	4.1	81.2	14.7	19.2	0.617	0.19
0	0	2.1	81.1	16.8	21.2	0.678	0.21
0	0	3.6	82.3	14.1	18.9	0.638	0.18
0	0	4.8	81.1	14.1	20.8	0.673	0.22
0	0	3.6	81.6	14.8	21.2	0.653	0.25
0	0	2.7	82.4	14.9	20.1	0.689	0.21
0	0	3.8	82.4	13.8	19.2	0.676	0.2
0	0	3.8	82.3	13.9	18.2	0.691	0.17
0	0	2	82.3	15.7	20.7	0.697	0.23
0	0	3	82.3	14.7	19.2	0.676	0.21
0	0	5.3	81.8	12.9	19.7	0.675	0.2
0	0	0	83	17	14	0.658	0.15
0	0	0	82	18	13.6	0.679	0.2
0	0	0	83	17	21	0.723	0.23
0	0	0	81	19	20.6	0.726	0.2
0	0	0	84	16	21.5	0.715	0.21
0	0	0	82	18	15.6	0.718	0.15
0	0	0	85	15	17.8	0.65	0.19
0	0	0	81	19	20.3	0.703	0.14
0	0	0	83	17	21	0.704	0.22
0	0	0	81	19	16.6	0.695	0.2
0	0	0	84	16	18.6	0.743	0.18
0	0	0	82	18	20.1	0.683	0.21
0	0	0	86	14	14.6	0.685	0.19
0	0	0	85	15	17.8	0.704	0.17
0	0	0	86	14	21	0.695	0.23
0	0	1.5	81.8	16.7	23.2	0.742	0.22
0	0	2.3	84	13.7	20.9	0.694	0.16
0	0	2	82	16	25.2	0.707	0.2
0	0	2	84.1	13.9	19.5	0.591	0.14
0	0	1.8	82.8	15.4	22.1	0.632	0.21
0	0	2.3	82.5	15.2	24.6	0.665	0.19
0	0	0	89	11	24	0.771	0.28
0	10	37	53	0	18	0.583	0.16
0	0	5	82	13	19.1	0.713	0.15
0	0	5	83	12	14.9	0.68	0.14
0	0	6	83	11	17.7	0.567	0.17
0	0	6	82	12	16.8	0.63	0.08
0	0	4	81	15	17.2	0.523	0.15
0	0	5	82	13	15.3	0.607	0.08
0	0	7	79	14	17.2	0.677	0.09
0	0	3	82	15	17.8	0.633	0.11
0	3	22	75	0	18.3	0.568	0.07
0	0	4	84	12	18.9	0.681	0.16
0	0	0.4	86.9	12.7	13.3	0.821	0.24
0	0	0.9	84.5	14.6	18.6	0.677	0.18
0	0	2.6	85.7	11.7	20.1	0.683	0.13
0	0	3.3	87.1	9.6	14.3	0.727	0.21
0	0	13	87	0	19.5	0.63	0.11
0	0	12	88	0	19.9	0.722	0.22
0	0	49	51	0	21	0.695	0.23
0	0	20	80	0	20.8	0.647	0.15
0	0	16	84	0	22.4	0.644	0.18
0	0	21	79	0	23.1	0.662	0.18
0	0	1.7	6.9	11.6	14.4	0.765	0.16
0	0	0.9	5.8	15.7	16.1	0.599	0.15
0	0	1.8	5.5	11.1	15.3	0.759	0.13
0	0	0.7	9.5	23	18.1	0.635	0.26
0	0	1.9	4.6	10.2	11.4	0.953	0.38
0	0	0.8	7.3	17.5	18.8	0.572	0.25
0	0	0	89	11	10.1	0.759	0.16
0	0	4	88	8	11.9	0.727	0.16
0	0	0	88	12	11.8	0.709	0.09
0	0	5	88	7	11.9	0.663	0.12
